Wav_id,H_MaxP,A_MaxP,H_Max,A_Max,AUO_Left_H_70,AUO_Right_H_50,AUO_Right_H_60,AUO_Right_H_70,AUO_Left_A_70,AUO_Right_A_50,AUO_Right_A_60,AUO_Right_A_70,W_Left_H_70,W_Right_H_50,W_Right_H_60,W_Right_H_70,W_Left_A_70,W_Right_A_50,W_Right_A_60,W_Right_A_70,Mean_beat_highcP,Mean_beat_lowcP,Mean_beat_medcP,Mean_beat_Slope_until_50,Mean_beat_Slope_until_70
65,94.8391326553606,93.8375103763337,3.08431350099251,1.66821267564617,2.72611015852485,8.83010521672741,5.41183441153404,3.43796786981947,2.15981680171221,7.25467434189533,5.12511046107069,3.04692843083433,14.022711906376,32.0519129288594,27.0438015337251,23.0373124176177,12.0194673483223,28.0454238127519,24.0389346966445,19.0308233015102,0.413411721645731,0.518630004451102,0.473113663391666,10.5949939675367,11.7411377438755
66,99.7398152528863,96.2605768994131,3.37504003477187,1.74255814011622,3.72732571100966,10.5672881776905,7.30780020619291,4.56151691358684,2.47606912619787,8.82061024088316,5.61791123048013,3.33490614250073,17.3961917673661,37.4018122998371,32.1829547696272,25.2244780626808,13.0471438255246,33.0527643579955,26.9640972394174,21.7452397092076,0.307836311822478,0.480509488324364,0.449425537661972,12.3793029025635,13.8441460611332
67,85.162816352777,85.162816352777,3.53927358105385,1.70574010347187,2.65734546009873,9.01895727866235,5.7295109894898,3.61956318071109,2.19402946039087,5.31446704925499,3.10475487382445,1.91949517831122,14.2184454568497,31.483700654453,26.4056844198638,22.3432714321924,12.1872389630141,21.3276681852746,16.2496519506854,13.2028422099319,0.316492313469261,0.463827052428656,0.471955531823594,10.4803696214713,11.8707122080041
68,87.5429878218624,86.7641209411311,3.95075077854208,1.70241531609496,2.59340956268375,6.18325892939329,4.11442828749573,2.49749890005392,2.47991451895326,5.18458967927907,3.18497214791567,1.92987738397835,14.0196038531623,22.587139541206,17.9139382568185,14.7984707338936,13.2407369724311,17.9139382568185,14.7984707338936,12.4618700916998,0.334633262681248,0.458547390124764,0.419402832127974,12.3007551079317,13.8777683684739
69,103.83683228993,79.5304620978824,5.38499799233317,1.93483188782991,6.4338552301841,4.7300624512557,3.24457385447929,1.77894970788234,1.85376397441581,12.9266898199792,8.62001295875886,5.32022035231588,32.4084935893968,20.8340315931836,16.2042467946984,11.5744619962131,10.4170157965918,40.510616986746,37.038278387882,34.7233859886394,0.342218163130115,0.532921930790493,0.373318146337024,13.6219308033463,15.8338999046575
70,83.313176726966,78.8192631217306,5.28780569393264,2.17162435584658,3.30162762134366,14.9090130191252,10.9482940243108,6.78462265379896,2.25846255497786,8.82515600599634,5.79820020024933,2.91884975901943,16.1780889788476,44.0403533313072,40.4452224471189,36.8500915629305,11.6841753736121,43.1415706102601,39.5464397260718,21.5707853051301,0.288318175670698,0.487484604575039,0.458385772553082,16.0139922163212,18.5067316628571
71,82.1864477830276,79.2445182775698,7.07787825326075,2.65448014345214,2.61865348641044,9.27608278301589,6.70784295318475,4.17394651017235,1.61657158859162,7.808051743611,4.82123862471521,2.697720307001,13.729004358803,32.3612245600356,27.458008717606,22.5547928751763,9.80643168485928,30.3999382230638,26.4773655491201,22.5547928751764,0.324349254747381,0.473957450418641,0.455421902852202,13.2559059487798,15.60432115088
72,81.0638492823736,78.7182440398901,7.01373663305808,2.59008507819316,2.61868082741442,11.0127027807892,7.98026421852106,4.43886702518652,2.13622238875755,7.4442591267408,4.86827796120826,2.56388078966812,14.0736314549011,36.3568812584946,31.6656707735275,26.9744602885605,11.7280262124176,34.011276016011,30.4928681522858,21.1104471823517,0.312573990014409,0.470004039256698,0.434196456723349,15.8008342401745,18.5113360119647
73,128.350736938955,114.384233418542,4.82296030647884,2.26203932306183,5.69755232145166,10.0766999008232,7.78557221052269,4.85537073458057,2.96033256274341,11.9946384351279,8.18568620768205,5.19484806116929,26.5363566887841,33.5196084489904,30.7263077449079,26.5363566887841,13.9665035204127,40.5028602091968,36.312909153073,32.1229580969492,0.357846352896103,0.57848038386687,0.456719367491118,15.98811982,19.6393355639445
74,127.664869203833,105.992159566517,4.43671123008606,2.14087975034193,7.48537157603525,6.01677084602423,3.75301640523906,2.22505185961695,2.01399996707604,10.2571788851194,5.85135065555889,3.39569888655963,32.5090644559744,25.2848279102023,19.2646307887256,14.4484730915442,10.8363548186581,37.3252221531558,32.5090644559744,28.8969461830883,0.363505843833084,0.571502118755036,0.365176256999042,15.8105654998411,17.5229126037997
